期号,日期,中奖号码 1,2,3,4,5,强力球,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50,51-60,61-70,一奖 中奖注数,一奖 每注奖金,二奖 中奖注数,二奖 每注奖金,三奖 中奖注数,三奖 每注奖金,四奖 中奖注数,四奖 每注奖金,五奖 中奖注数,五奖 每注奖金,六奖 中奖注数,六奖 每注奖金,七奖 中奖注数,七奖 每注奖金,八奖 中奖注数,八奖 每注奖金,九奖 中奖注数,九奖 每注奖金
09/11/2024,2024-09-11,10,12,55,65,67,3,,2,3,3,2,1,1,0,0,0,1,2,0,0.00,0,0.00,3,50000.00,180,100.00,493,100.00,12016,7.00,11215,7.00,88132,4.00,207111,4.00
09/09/2024,2024-09-09,1,16,21,47,60,5,,3,2,3,2,1,1,1,0,1,1,0,0,0.00,0,0.00,10,50000.00,172,100.00,476,100.00,10860,7.00,10098,7.00,76308,4.00,180215,4.00
09/07/2024,2024-09-07,14,34,37,55,63,20,,2,3,3,2,0,1,0,2,0,1,1,0,0.00,0,0.00,7,50000.00,276,100.00,621,100.00,16195,7.00,13311,7.00,104106,4.00,264297,4.00
09/04/2024,2024-09-04,7,10,21,33,59,20,,4,1,4,1,2,0,1,1,0,1,0,0,0.00,1,1000000.00,5,50000.00,229,100.00,490,100.00,14995,7.00,9952,7.00,71008,4.00,159340,4.00
09/02/2024,2024-09-02,8,42,46,48,53,22,,1,4,1,4,1,0,0,0,3,1,0,0,0.00,0,0.00,4,50000.00,124,100.00,344,100.00,7913,7.00,6372,7.00,50908,4.00,124309,4.00
08/31/2024,2024-08-31,4,34,35,38,69,19,,2,3,2,3,1,0,0,3,0,0,1,0,0.00,1,1000000.00,10,50000.00,222,100.00,548,100.00,14274,7.00,11785,7.00,95079,4.00,230697,4.00
08/28/2024,2024-08-28,5,33,47,50,64,20,,2,3,3,2,1,0,0,1,2,0,1,0,0.00,1,1000000.00,7,50000.00,132,100.00,356,100.00,8991,7.00,7185,7.00,58096,4.00,141008,4.00
08/26/2024,2024-08-26,2,4,23,68,69,15,,3,2,2,3,2,0,1,0,0,0,2,0,0.00,0,0.00,3,50000.00,131,100.00,300,100.00,8711,7.00,7073,7.00,51346,4.00,121845,4.00
08/24/2024,2024-08-24,5,15,21,24,43,17,,4,1,4,1,1,1,2,0,1,0,0,0,0.00,2,1000000.00,11,50000.00,265,100.00,549,100.00,16400,7.00,12209,7.00,88084,4.00,199708,4.00
08/21/2024,2024-08-21,27,31,33,38,67,3,,3,2,4,1,0,0,1,3,0,0,1,0,0.00,0,0.00,9,50000.00,100,100.00,340,100.00,8371,7.00,7418,7.00,58830,4.00,140929,4.00
08/19/2024,2024-08-19,1,2,15,23,28,10,,5,0,3,2,2,1,2,0,0,0,0,1,44000000.00,1,1000000.00,7,50000.00,248,100.00,547,100.00,12495,7.00,8974,7.00,58067,4.00,125158,4.00
08/17/2024,2024-08-17,12,31,43,45,46,22,,2,3,3,2,0,1,0,1,3,0,0,0,0.00,0,0.00,4,50000.00,294,100.00,476,100.00,12967,7.00,10526,7.00,80428,4.00,194090,4.00
08/14/2024,2024-08-14,8,9,23,29,62,13,9,4,1,3,2,2,0,2,0,0,0,1,0,0.00,0,0.00,8,50000.00,188,100.00,531,100.00,11678,7.00,10262,7.00,67852,4.00,145040,4.00
08/12/2024,2024-08-12,9,22,57,67,68,14,9,2,3,3,2,1,0,1,0,0,1,2,1,214000000.00,0,0.00,8,50000.00,161,100.00,354,100.00,9881,7.00,8577,7.00,68671,4.00,168083,4.00
08/10/2024,2024-08-10,9,24,33,64,69,9,,3,2,3,2,1,0,1,1,0,0,2,0,0.00,1,1000000.00,7,50000.00,258,100.00,768,100.00,17736,7.00,16394,7.00,122420,4.00,284371,4.00
08/07/2024,2024-08-07,6,19,35,47,57,9,,2,3,4,1,1,1,0,1,1,1,0,0,0.00,0,0.00,8,50000.00,164,100.00,489,100.00,11424,7.00,10136,7.00,78709,4.00,185700,4.00
08/05/2024,2024-08-05,29,42,44,51,54,12,,1,4,2,3,0,0,1,0,2,2,0,0,0.00,1,1000000.00,6,50000.00,136,100.00,368,100.00,9206,7.00,8051,7.00,64034,4.00,162166,4.00
08/03/2024,2024-08-03,13,33,40,60,61,20,,2,3,3,2,0,1,0,2,0,1,1,0,0.00,1,1000000.00,5,50000.00,255,100.00,578,100.00,15431,7.00,12427,7.00,97547,4.00,243733,4.00
07/31/2024,2024-07-31,23,34,37,50,58,7,,2,3,2,3,0,0,1,2,1,1,0,0,0.00,1,1000000.00,7,50000.00,163,100.00,449,100.00,10620,7.00,9549,7.00,79245,4.00,204557,4.00
07/29/2024,2024-07-29,11,27,30,33,44,16,,4,1,3,2,0,1,2,1,1,0,0,0,0.00,3,1000000.00,5,50000.00,189,100.00,462,100.00,12809,7.00,8304,7.00,60340,4.00,137384,4.00
07/27/2024,2024-07-27,3,31,37,40,64,17,,2,3,3,2,1,0,0,3,0,0,1,0,0.00,0,0.00,9,50000.00,219,100.00,584,100.00,15034,7.00,13115,7.00,101466,4.00,242452,4.00
07/24/2024,2024-07-24,16,42,59,63,68,13,,1,4,2,3,0,1,0,0,1,1,2,0,0.00,0,0.00,2,50000.00,148,100.00,389,100.00,9107,7.00,8302,7.00,67914,4.00,187186,4.00
07/22/2024,2024-07-22,31,36,56,58,69,20,31,1,4,2,3,0,0,0,2,0,2,1,0,0.00,0,0.00,3,50000.00,142,100.00,296,100.00,8256,7.00,6681,7.00,53185,4.00,137492,4.00
07/20/2024,2024-07-20,18,25,31,40,57,4,,3,2,3,2,0,1,1,2,0,1,0,0,0.00,1,1000000.00,9,50000.00,192,100.00,534,100.00,14133,7.00,12780,7.00,94686,4.00,229044,4.00
07/17/2024,2024-07-17,24,27,32,47,66,26,,3,2,2,3,0,0,2,1,1,0,1,0,0.00,0,0.00,8,50000.00,147,100.00,343,100.00,9139,7.00,7245,7.00,58254,4.00,143266,4.00
07/15/2024,2024-07-15,9,31,39,40,45,23,9,2,3,4,1,1,0,0,3,1,0,0,0,0.00,0,0.00,4,50000.00,123,100.00,328,100.00,8094,7.00,6562,7.00,53044,4.00,126622,4.00
07/13/2024,2024-07-13,9,55,59,66,69,21,,1,4,4,1,1,0,0,0,0,2,2,0,0.00,0,0.00,13,50000.00,168,100.00,476,100.00,12207,7.00,10270,7.00,84045,4.00,208636,4.00
07/10/2024,2024-07-10,7,11,12,27,46,26,,4,1,3,2,1,2,1,0,1,0,0,0,0.00,2,1000000.00,13,50000.00,316,100.00,579,100.00,17258,7.00,9587,7.00,59397,4.00,125655,4.00
07/08/2024,2024-07-08,20,22,31,33,45,1,,4,1,3,2,0,1,1,2,1,0,0,0,0.00,1,1000000.00,4,50000.00,144,100.00,293,100.00,7863,7.00,6003,7.00,45772,4.00,108777,4.00
07/06/2024,2024-07-06,5,32,35,39,49,21,,2,3,4,1,1,0,0,3,1,0,0,0,0.00,0,0.00,6,50000.00,180,100.00,458,100.00,11572,7.00,9739,7.00,77007,4.00,186060,4.00
07/03/2024,2024-07-03,2,26,33,55,57,22,55,3,2,3,2,1,0,1,1,0,2,0,1,139300000.00,3,1000000.00,5,50000.00,174,100.00,440,100.00,11808,7.00,9964,7.00,77130,4.00,183759,4.00
07/01/2024,2024-07-01,5,9,32,39,55,9,,3,2,4,1,2,0,0,2,0,1,0,0,0.00,0,0.00,4,50000.00,144,100.00,448,100.00,10857,7.00,9743,7.00,71812,4.00,163173,4.00
06/29/2024,2024-06-29,26,51,54,61,69,25,,1,4,3,2,0,0,1,0,0,2,2,0,0.00,2,1000000.00,9,50000.00,218,100.00,562,100.00,14672,7.00,11781,7.00,94650,4.00,247524,4.00
06/26/2024,2024-06-26,4,9,36,47,56,7,36,2,3,2,3,2,0,0,1,1,1,0,0,0.00,0,0.00,0,0.00,3,100.00,10,100.00,182,7.00,182,7.00,1359,4.00,3041,4.00
06/24/2024,2024-06-24,5,6,36,53,69,8,5,2,3,3,2,2,0,0,1,0,1,1,0,0.00,0,0.00,1,50000.00,46,100.00,87,100.00,2477,7.00,2181,7.00,17195,4.00,40031,4.00
06/22/2024,2024-06-22,4,5,15,32,62,21,4,4,1,2,3,2,1,0,1,0,0,1,0,0.00,1,1000000.00,5,50000.00,106,100.00,283,100.00,6877,7.00,5783,7.00,41508,4.00,96113,4.00
06/19/2024,2024-06-19,4,27,44,50,64,7,,2,3,1,4,1,0,1,0,2,0,1,0,0.00,0,0.00,0,0.00,2,100.00,7,100.00,114,7.00,88,7.00,849,4.00,1943,4.00
06/17/2024,2024-06-17,30,48,53,58,66,9,48,1,4,1,4,0,0,1,0,1,2,1,0,0.00,0,0.00,0,0.00,1,100.00,5,100.00,133,7.00,115,7.00,965,4.00,2781,4.00
06/15/2024,2024-06-15,4,36,48,54,56,2,,1,4,0,5,1,0,0,1,1,2,0,0,0.00,0,0.00,2,50000.00,30,100.00,83,100.00,1906,7.00,1631,7.00,12512,4.00,31268,4.00
06/12/2024,2024-06-12,19,30,31,61,62,21,,3,2,3,2,0,1,1,1,0,0,2,0,0.00,1,1000000.00,1,50000.00,58,100.00,152,100.00,3928,7.00,3259,7.00,26022,4.00,63790,4.00
06/10/2024,2024-06-10,3,10,33,58,59,9,,3,2,3,2,2,0,0,1,0,2,0,0,0.00,0,0.00,3,50000.00,97,100.00,273,100.00,6038,7.00,5395,7.00,40194,4.00,94023,4.00
06/08/2024,2024-06-08,8,38,52,54,64,15,8,1,4,0,5,1,0,0,1,0,2,1,0,0.00,0,0.00,0,0.00,4,100.00,16,100.00,457,7.00,384,7.00,3129,4.00,7708,4.00
06/05/2024,2024-06-05,8,44,45,51,69,12,45,1,4,3,2,1,0,0,0,2,1,1,0,0.00,1,1000000.00,1,50000.00,77,100.00,180,100.00,5020,7.00,4266,7.00,34595,4.00,84336,4.00
06/03/2024,2024-06-03,19,29,35,36,45,16,,2,3,4,1,0,1,1,2,1,0,0,0,0.00,1,1000000.00,6,50000.00,75,100.00,195,100.00,4935,7.00,3885,7.00,29756,4.00,70455,4.00
06/01/2024,2024-06-01,28,38,52,54,68,8,,1,4,0,5,0,0,1,1,0,2,1,0,0.00,0,0.00,1,50000.00,1,100.00,3,100.00,48,7.00,44,7.00,351,4.00,895,4.00
05/29/2024,2024-05-29,17,34,56,60,61,9,,2,3,2,3,0,1,0,1,0,2,1,0,0.00,0,0.00,4,50000.00,178,100.00,425,100.00,10454,7.00,8934,7.00,73517,4.00,192383,4.00
05/27/2024,2024-05-27,9,30,39,49,59,21,,2,3,4,1,1,0,1,1,1,1,0,0,0.00,0,0.00,0,0.00,65,100.00,153,100.00,4012,7.00,3363,7.00,26568,4.00,64534,4.00
05/25/2024,2024-05-25,6,33,35,36,64,24,,2,3,2,3,1,0,0,3,0,0,1,0,0.00,0,0.00,0,0.00,3,100.00,5,100.00,195,7.00,185,7.00,1470,4.00,3397,4.00
05/22/2024,2024-05-22,5,16,18,26,67,4,,4,1,2,3,1,2,1,0,0,0,1,0,0.00,0,0.00,2,50000.00,32,100.00,85,100.00,2336,7.00,1946,7.00,13484,4.00,31009,4.00
05/20/2024,2024-05-20,1,7,48,64,68,5,,2,3,2,3,2,0,0,0,1,0,2,0,0.00,0,0.00,0,0.00,10,100.00,25,100.00,663,7.00,618,7.00,5011,4.00,11990,4.00
05/18/2024,2024-05-18,19,36,37,42,59,19,"19,42",1,4,3,2,0,1,0,2,1,1,0,0,0.00,1,1000000.00,2,50000.00,88,100.00,223,100.00,5793,7.00,4666,7.00,36736,4.00,88841,4.00
05/15/2024,2024-05-15,19,42,45,55,69,6,,1,4,4,1,0,1,0,0,2,1,1,0,0.00,0,0.00,0,0.00,4,100.00,3,100.00,111,7.00,95,7.00,793,4.00,1906,4.00
05/13/2024,2024-05-13,5,14,29,38,66,1,,3,2,2,3,1,1,1,1,0,0,1,0,0.00,0,0.00,1,50000.00,33,100.00,83,100.00,2463,7.00,1960,7.00,14129,4.00,33184,4.00
05/11/2024,2024-05-11,3,6,39,49,67,21,,2,3,4,1,2,0,0,1,1,0,1,0,0.00,0,0.00,0,0.00,1,100.00,8,100.00,118,7.00,107,7.00,776,4.00,1720,4.00
05/08/2024,2024-05-08,7,41,43,44,51,5,7,1,4,4,1,1,0,0,0,3,1,0,0,0.00,0,0.00,0,0.00,1,100.00,0,0.00,13,7.00,9,7.00,51,4.00,147,4.00
05/06/2024,2024-05-06,7,23,24,56,60,25,23,3,2,2,3,1,0,2,0,0,2,0,0,0.00,0,0.00,0,0.00,38,100.00,74,100.00,1973,7.00,1650,7.00,12248,4.00,27940,4.00
