Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Balls,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元),七等奖 中奖条件,七等奖 中奖注数,七等奖 每注奖金(元),八等奖 中奖条件,八等奖 中奖注数,八等奖 每注奖金(元),九等奖 中奖条件,九等奖 中奖注数,九等奖 每注奖金(元),一等奖追加 中奖注数,一等奖追加 每注奖金(元),二等奖追加 中奖注数,二等奖追加 每注奖金(元)
大乐透,20001,开奖日期：2020-01-01,每周一、三、六21:15开奖,"17,25,26,32,34","4,7",2.90 亿,13.87 亿,5+2,2,10000000,5+1,95,145642,5+0,122,10000,4+2,869,3000,4+1,16096,300,3+2,23658,200,4,31055,100,3+1/2+2,722523,15,"3/
                                    1+2/
                                    2+1/
                                    2",26,26,0,0,0,116513
大乐透,20002,开奖日期：2020-01-04,每周一、三、六21:15开奖,"3,7,18,25,30","2,7",3.15 亿,13.70 亿,5+2,6,9908421,5+1,152,89594,5+0,497,10000,4+2,1083,3000,4+1,20028,300,3+2,32565,200,4,46882,100,3+1/2+2,848886,15,"3/
                                    1+2/
                                    2+1/
                                    2",25,25,2,7926736,2,71675
大乐透,20003,开奖日期：2020-01-06,每周一、三、六21:15开奖,"23,25,26,30,34","3,7",2.84 亿,14.42 亿,5+2,0,0,5+1,52,333491,5+0,102,10000,4+2,371,3000,4+1,9339,300,3+2,15876,200,4,19890,100,3+1/2+2,491260,15,"3/
                                    1+2/
                                    2+1/
                                    2",30,30,0,0,0,266792
大乐透,20004,开奖日期：2020-01-08,每周一、三、六21:15开奖,"17,20,21,29,30","5,9",2.80 亿,14.40 亿,5+2,4,10000000,5+1,129,80526,5+0,284,10000,4+2,972,3000,4+1,20214,300,3+2,32353,200,4,43670,100,3+1/2+2,899046,15,"3/
                                    1+2/
                                    2+1/
                                    2",20,20,1,8000000,1,64420
大乐透,20005,开奖日期：2020-01-11,每周一、三、六21:15开奖,"6,10,33,34,35","1,3",3.07 亿,14.30 亿,5+2,7,10000000,5+1,198,70540,5+0,283,10000,4+2,555,3000,4+1,19048,300,3+2,17660,200,4,49374,100,3+1/2+2,657743,15,"3/
                                    1+2/
                                    2+1/
                                    2",10,10,1,8000000,1,56432
大乐透,20006,开奖日期：2020-01-13,每周一、三、六21:15开奖,"9,22,25,31,32","8,12",2.75 亿,14.74 亿,5+2,1,10000000,5+1,106,118123,5+0,153,10000,4+2,755,3000,4+1,17251,300,3+2,23015,200,4,33743,100,3+1/2+2,754610,15,"3/
                                    1+2/
                                    2+1/
                                    2",22,22,0,0,0,94498
大乐透,20007,开奖日期：2020-01-15,每周一、三、六21:15开奖,"2,10,19,24,30","5,8",2.76 亿,14.14 亿,5+2,12,7162433,5+1,131,96229,5+0,219,10000,4+2,910,3000,4+1,15055,300,3+2,27226,200,4,38430,100,3+1/2+2,708493,15,"3/
                                    1+2/
                                    2+1/
                                    2",2,2,5,5729946,5,76983
大乐透,20008,开奖日期：2020-01-18,每周一、三、六21:15开奖,"14,17,19,24,32","1,6",3.13 亿,14.36 亿,5+2,4,10000000,5+1,57,344283,5+0,144,10000,4+2,432,3000,4+1,11885,300,3+2,16831,200,4,32003,100,3+1/2+2,536121,15,"3/
                                    1+2/
                                    2+1/
                                    2",17,17,2,8000000,2,275426
大乐透,20009,开奖日期：2020-01-20,每周一、三、六21:15开奖,"19,29,31,34,35","6,10",3.06 亿,14.26 亿,5+2,6,10000000,5+1,102,152272,5+0,212,10000,4+2,829,3000,4+1,18501,300,3+2,21693,200,4,42258,100,3+1/2+2,678089,15,"3/
                                    1+2/
                                    2+1/
                                    2",24,24,2,8000000,2,121817
大乐透,20010,开奖日期：2020-03-14,每周一、三、六21:15开奖,"1,8,13,24,32","2,9",1.93 亿,14.08 亿,5+2,6,8599471,5+1,70,114765,5+0,191,10000,4+2,700,3000,4+1,10281,300,3+2,25689,200,4,20169,100,3+1/2+2,585535,15,"3/
                                    1+2/
                                    2+1/
                                    2",13,13,0,0,0,91812
大乐透,20011,开奖日期：2020-03-16,每周一、三、六21:15开奖,"2,13,19,22,23","2,7",1.69 亿,13.93 亿,5+2,5,9096183,5+1,58,158385,5+0,123,10000,4+2,471,3000,4+1,8542,300,3+2,13464,200,4,18026,100,3+1/2+2,387304,15,"3/
                                    1+2/
                                    2+1/
                                    2",2,2,1,7276946,1,126708
大乐透,20012,开奖日期：2020-03-18,每周一、三、六21:15开奖,"1,6,18,32,34","1,3",1.81 亿,14.17 亿,5+2,2,10000000,5+1,35,268738,5+0,85,10000,4+2,305,3000,4+1,6889,300,3+2,8808,200,4,13547,100,3+1/2+2,327620,15,"3/
                                    1+2/
                                    2+1/
                                    2",34,34,0,0,0,214990
大乐透,20013,开奖日期：2020-03-21,每周一、三、六21:15开奖,"1,4,5,11,35","3,9",2.10 亿,13.82 亿,5+2,9,7976833,5+1,45,278794,5+0,114,10000,4+2,388,3000,4+1,8979,300,3+2,12970,200,4,24038,100,3+1/2+2,421601,15,"3/
                                    1+2/
                                    2+1/
                                    2",1,1,2,6381466,2,223035
