Lottery Name,Draw Number,Draw Date,Draw Time,Red Balls,Blue Ball,Sales Volume,Prize Pool,一等奖 中奖条件,一等奖 中奖注数,一等奖 每注奖金(元),二等奖 中奖条件,二等奖 中奖注数,二等奖 每注奖金(元),三等奖 中奖条件,三等奖 中奖注数,三等奖 每注奖金(元),四等奖 中奖条件,四等奖 中奖注数,四等奖 每注奖金(元),五等奖 中奖条件,五等奖 中奖注数,五等奖 每注奖金(元),六等奖 中奖条件,六等奖 中奖注数,六等奖 每注奖金(元)
双色球,2003001,开奖日期：2003-02-23,每周二、四、日21:15开奖,"10,11,12,13,26,28",11,0.10 亿,0.02 亿,6+1,0,0,6+0,1,898744,5+1,26,3000,5+0/4+1,1458,200,4+0/3+1,30231,10,2+1/1+1/0+1,276620,5
双色球,2003002,开奖日期：2003-02-27,每周二、四、日21:15开奖,"4,9,19,20,21,26",12,0.07 亿,0.08 亿,6+1,0,0,6+0,2,264332,5+1,35,3000,5+0/4+1,1730,200,4+0/3+1,29344,10,2+1/1+1/0+1,223758,5
双色球,2003003,开奖日期：2003-03-02,每周二、四、日21:15开奖,"1,7,10,23,28,32",16,0.09 亿,0.10 亿,6+1,0,0,6+0,2,332369,5+1,37,3000,5+0/4+1,1463,200,4+0/3+1,28328,10,2+1/1+1/0+1,293425,5
双色球,2003004,开奖日期：2003-03-06,每周二、四、日21:15开奖,"4,6,7,10,13,25",3,0.10 亿,0.12 亿,6+1,0,0,6+0,3,281578,5+1,26,3000,5+0/4+1,1565,200,4+0/3+1,30897,10,2+1/1+1/0+1,229592,5
双色球,2003005,开奖日期：2003-03-09,每周二、四、日21:15开奖,"4,6,15,17,30,31",16,0.11 亿,0.14 亿,6+1,0,0,6+0,4,260153,5+1,23,3000,5+0/4+1,1474,200,4+0/3+1,30857,10,2+1/1+1/0+1,216604,5
双色球,2003006,开奖日期：2003-03-13,每周二、四、日21:15开奖,"1,3,10,21,26,27",6,0.11 亿,0.16 亿,6+1,0,0,6+0,2,412254,5+1,33,3000,5+0/4+1,2079,200,4+0/3+1,37130,10,2+1/1+1/0+1,343234,5
双色球,2003007,开奖日期：2003-03-16,每周二、四、日21:15开奖,"1,9,19,21,23,26",7,0.12 亿,0.13 亿,6+1,1,5000000,6+0,3,254459,5+1,44,3000,5+0/4+1,2010,200,4+0/3+1,38588,10,2+1/1+1/0+1,495260,5
双色球,2003008,开奖日期：2003-03-20,每周二、四、日21:15开奖,"5,8,9,14,17,23",8,0.12 亿,0.13 亿,6+1,0,0,6+0,6,29815,5+1,137,3000,5+0/4+1,5453,200,4+0/3+1,80832,10,2+1/1+1/0+1,564988,5
双色球,2003009,开奖日期：2003-03-23,每周二、四、日21:15开奖,"5,9,18,20,22,30",9,0.12 亿,0.14 亿,6+1,0,0,6+0,2,106869,5+1,77,3000,5+0/4+1,3760,200,4+0/3+1,61474,10,2+1/1+1/0+1,751794,5
双色球,2003010,开奖日期：2003-03-27,每周二、四、日21:15开奖,"1,2,8,13,17,24",13,0.12 亿,0.11 亿,6+1,1,5000000,6+0,3,272604,5+1,71,3000,5+0/4+1,3047,200,4+0/3+1,54602,10,2+1/1+1/0+1,396516,5
双色球,2003011,开奖日期：2003-03-30,每周二、四、日21:15开奖,"4,5,11,12,30,32",15,0.13 亿,0.13 亿,6+1,0,0,6+0,1,808052,5+1,38,3000,5+0/4+1,2306,200,4+0/3+1,44407,10,2+1/1+1/0+1,510129,5
双色球,2003012,开奖日期：2003-04-03,每周二、四、日21:15开奖,"2,12,16,17,27,30",12,0.12 亿,0.10 亿,6+1,1,5000000,6+0,6,155762,5+1,53,3000,5+0/4+1,2241,200,4+0/3+1,41587,10,2+1/1+1/0+1,378446,5
双色球,2003013,开奖日期：2003-04-06,每周二、四、日21:15开奖,"8,13,17,21,23,32",12,0.13 亿,0.13 亿,6+1,0,0,6+0,4,348491,5+1,26,3000,5+0/4+1,1384,200,4+0/3+1,29781,10,2+1/1+1/0+1,176132,5
